permit_type,permit_num,permit_class_mapped,permit_class,work_class,condominium,project_name,description,tcad_id,issued_date,calendar_year_issued,fiscal_year_issued,status_current,expires_date,completed_date,council_district,housing_units,number_of_floors,total_job_valuation,original_zip,jurisdiction,link,project_id,master_permit_num,contractor_company_name,contractor_phone,contractor_zip,applicant_organization,applicant_phone,certificate_of_occupancy,original_address_1
BP,2000-013118 BP,Commercial,C- 104 Three & Four Family Bldgs,New,No,4805 SINCLAIR AVE,Demo Existing Garage,0225030924,2021-02-04,2021,2021,Final,2022-02-02,2022-02-02,7,NA,NA,$44.00,78756,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=676601,676601,NA,Galbraith Construction Company (Main),5124476700,78759,NA,NA,No,4805 SINCLAIR AVE
BP,2004-004287 BP,Commercial,C- 104 Three & Four Family Bldgs,New,No,7800 Southwest Pkwy,New  Mail Building,0101380701,2004-10-06,2004,2005,Final,2005-08-01,2005-08-01,8,NA,2,"$31,620.00",78735,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=709625,709625,238579,Trammell Crow Residential,5124779900,78746,NA,NA,Yes,7800 SOUTHWEST PKWY BLDG 29
BP,2004-006664 BP,Commercial,C- 104 Three & Four Family Bldgs,New,No,54 Rainey St,New Shell Bldg W/Core Improvements & Unit Basics,0203031201,2004-06-08,2004,2004,Final,2006-07-13,2006-07-13,9,NA,18,"$18,980,000.00",78701,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=703346,703346,230388,Fairfield Residential,8178169400,NA,NA,NA,Yes,54 RAINEY ST
BP,2001-007206 BP,Commercial,C- 104 Three & Four Family Bldgs,New,No,2414 Pearl St,New Ancillary Bldg For Exist Frat House (3000sf)/Addition(958sf)/ Remodel Of Existing Fire Damaged Bldg(3000sf),0214010707,2001-08-07,2001,2001,Final,2002-02-14,2002-02-14,9,NA,NA,"$990,000.00",78705,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=683095,683095,187086,James Hollard Architect,5125772061,78703,NA,NA,Yes,2414 PEARL ST
BP,2000-019116 BP,Commercial,C- 104 Three & Four Family Bldgs,New,No,7655 N F M 620 Rd Building 13,Maintenence Building,0156300301,2000-09-26,2000,2000,Final,2001-08-30,2001-08-30,10,NA,NA,"$96,450.00",78726,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=671369,671369,165718,NA,NA,NA,NA,NA,Yes,7655 N FM 620 RD BLDG 13
BP,2000-014350 BP,Commercial,C- 104 Three & Four Family Bldgs,New,No,NA,New Clubhouse,0307110135,2000-10-12,2000,2001,Final,2001-07-06,2001-07-06,3,NA,1,"$651,200.00",78741,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=680302,680302,168076,Jpi,2145563752,75039-0,NA,NA,Yes,4600 ELMONT DR
BP,2000-019121 BP,Commercial,C- 104 Three & Four Family Bldgs,New,No,7655 N F M 620 Rd Building 21,Garage,0156300301,2000-09-26,2000,2000,Final,2001-09-11,2001-09-11,10,NA,NA,"$45,150.00",78726,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=671373,671373,165718,NA,NA,NA,NA,NA,Yes,7655 N FM 620 RD BLDG 21
BP,2000-002057 BP,Commercial,C- 104 Three & Four Family Bldgs,New,No,12443 Tech Ridge Blvd,New Carport,0256260102,2000-07-11,2000,2000,Final,2001-07-10,2001-07-10,1,NA,1,"$2,310.00",78753,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=675156,675156,166451,Westwood Residential Co.,2142370475,75034,NA,NA,Yes,12443 TECH RIDGE BLVD
BP,2001-013129 BP,Commercial,C- 104 Three & Four Family Bldgs,New,No,3615 Garden Villa La,New Manufactured Home W/Wd Decks,0407070417,2001-01-03,2001,2001,Final,2001-03-30,2001-03-30,3,NA,1,"$28,000.00",78704,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=680561,680561,NA,J B Trucking,5124519625,78752,NA,NA,No,916 SOUTH CENTER ST
BP,1999-015531 BP,Commercial,C- 104 Three & Four Family Bldgs,New,No,NA,New Sf Res,0141280301,1999-12-27,1999,2000,Final,2000-11-07,2000-11-07,10,NA,2,"$375,000.00",78730,AUSTIN LTD,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=670821,670821,164029,"Egger Homes, Inc.",5122479079,NA,NA,NA,Yes,4500 NOBLE HILL CT
