permit_type,permit_num,permit_class_mapped,permit_class,work_class,condominium,project_name,description,tcad_id,issued_date,calendar_year_issued,fiscal_year_issued,status_current,expires_date,completed_date,council_district,housing_units,number_of_floors,total_job_valuation,original_zip,jurisdiction,link,project_id,master_permit_num,contractor_company_name,contractor_phone,contractor_zip,applicant_organization,applicant_phone,certificate_of_occupancy,original_address_1
BP,2004-014708 BP,Residential,R- 101 Single Family Houses,New,No,2006 SCHULLE AVE,New Two Story Res W/Att Covered Porch (Lsd C8i-04-0070),0117070802,2020-10-22,2020,2021,Final,2020-10-29,2020-10-29,10,NA,2,"$207,500.00",78703,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=708018,708018,235653,NA,5124681474,NA,NA,NA,Yes,2006 SCHULLE AVE
BP,2000-004850 BP,Residential,R- 101 Single Family Houses,New,No,515 E 49TH ST,New Two Story Res Watt Porch,0221081507,2019-12-11,2019,2020,Active,2022-03-01,2000-11-01,9,NA,2,"$200,000.00",78751,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=672390,672390,NA,Straightline Properties,5124541331,78756,NA,NA,Yes,515 E 49TH ST
BP,2000-007060 BP,Residential,R- 101 Single Family Houses,New,No,4621 STEED DR,New Two Story Res W/Att Garage Entry Porch & Patio,0422341702,2019-10-28,2019,2020,Final,2019-10-31,2019-10-31,8,NA,2,"$82,250.00",78749,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=678841,678841,182768,"Milburn, Bill",5123454663,78727,NA,NA,Yes,4621 STEED DR
BP,2000-006777 BP,Residential,R- 101 Single Family Houses,New,No,4813 CHESNEY RIDGE DR,New Two Story Res W/Att Garage Porch & Patio,0420341105,2019-11-12,2019,2020,Active,2022-03-01,2001-05-26,8,NA,2,"$101,185.00",78749,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=676007,676007,179386,"Milburn, Bill",5123454663,78727,NA,NA,Yes,4813 CHESNEY RIDGE DR
BP,2002-000904 BP,Residential,R- 101 Single Family Houses,New,No,1016 Merlene Dr,2-Story Sf Res. W/ Attached Garage Covered Porch.,0129550102,2002-02-22,2002,2002,Final,2003-02-28,2003-02-28,10,NA,2,"$220,000.00",78732,AUSTIN LTD,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=688548,688548,206235,NA,NA,NA,NA,NA,Yes,1016 MERLENE DR
BP,2001-010102 BP,Residential,R- 101 Single Family Houses,New,No,5910 BOLD RULER WAY,New Detached Pool House,0125190122,2016-10-06,2016,2017,Final,2016-10-27,2016-10-27,8,NA,NA,"$25,000.00",78746,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=680329,680329,NA,Kuykendall Homes,8308958588,78028,NA,NA,No,5910 BOLD RULER WAY
BP,2000-019000 BP,Residential,R- 101 Single Family Houses,New,No,5616 CLARION CV,Private Swimming Pool W/ReqD Enclosure Device / electrical permit required,0127150258,2016-08-15,2016,2016,Final,2017-03-31,2017-03-31,8,NA,NA,"$35,000.00",78746,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=671319,671319,NA,NA,512,78746,NA,NA,Yes,5616 CLARION CV
BP,2000-012749 BP,Residential,R- 101 Single Family Houses,New,No,5324 TORTUGA TRL,New Swimming Pool & Spa,0131090247,2016-01-20,2016,2016,Final,2016-12-14,2016-12-14,10,NA,NA,"$66,000.00",78731,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=673690,673690,NA,Austin Custom Pools,5122502050,78734,NA,NA,No,5324 TORTUGA TRL
BP,2000-010440 BP,Residential,R- 101 Single Family Houses,New,No,3108 WHEELER ST,New Underground Swimming Pool/Spa W/Required Enclosure Device Only  / electrical permit will be required,0216040902,2014-03-25,2014,2014,Final,2014-06-05,2014-06-05,9,NA,NA,"$19,500.00",78705,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=676349,676349,NA,RisherMartin Fine Homes,5124959090,78756,NA,NA,No,3108 WHEELER ST
BP,2007-002304 BP,Commercial,C- 101 Single Family Houses,New,No,10701 PECAN PARK BLVD UNIT 1050,New 2 Story Condo W/Att Garage CovD Patio & CovD Porch.,R488961,2007-02-28,2007,2007,Final,2011-02-11,2011-02-11,6,NA,2,"$132,248.00",78750,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741811,741811,281940,LAKELINE PECAN LLC,5123281111,78746,NA,NA,Yes,10701 PECAN PARK BLVD UNIT 1050
BP,2007-005218 BP,Commercial,C- 101 Single Family Houses,New,No,10701 PECAN PARK BLVD UNIT 6440,New 2 Story Condo W/Att Garage CovD Patio & CovD Porch.,R488961,2007-02-28,2007,2007,Final,2009-11-20,2009-11-20,6,NA,2,"$130,909.00",78750,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743106,743106,282108,"Metro Engineering, Inc",4023999353,68145,NA,NA,Yes,10701 PECAN PARK BLVD UNIT 6440
BP,2007-002294 BP,Commercial,C- 101 Single Family Houses,New,No,10701 PECAN PARK BLVD UNIT 6220,New 2 Story Condo W/Att Garage CovD Patio & CovD Porch.,R488961,2007-02-28,2007,2007,Final,2008-02-20,2008-02-20,6,NA,2,"$132,248.00",78750,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741802,741802,281927,"Metro Engineering, Inc",4023999353,68145,NA,NA,Yes,10701 PECAN PARK BLVD UNIT 6220
BP,2006-006361 BP,Residential,R- 101 Single Family Houses,New,No,7001 FRONTERA TRL,S.M.A.R.T. Housing/New One Story Res W/Att Balconies & Stoop ( Urban  Home) ( 2 Bathrooms 5/8 Meter),0307171124,2007-03-23,2007,2007,Final,2008-01-09,2008-01-09,3,NA,1,"$50,000.00",78741,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=733510,733510,271324,NA,5127487893,78704,NA,NA,Yes,7001 FRONTERA TRL
BP,2007-002377 BP,Commercial,C- 101 Single Family Houses,New,No,10701 PECAN PARK BLVD UNIT 6430,New 2 Story Condo W/Att Garage CovD Patio & CovD Porch.,R488961,2007-02-28,2007,2007,Final,2009-03-05,2009-03-05,6,NA,2,"$125,370.00",78750,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741874,741874,282027,"Metro Engineering, Inc",4023999353,68145,NA,NA,Yes,10701 PECAN PARK BLVD UNIT 6430
BP,2007-005197 BP,Commercial,C- 101 Single Family Houses,New,No,10701 PECAN PARK BLVD UNIT 6410,New 2 Story Condo W/Att Garage CovD Patio & CovD Porch.,R488961,2007-02-28,2007,2007,Final,2009-11-24,2009-11-24,6,NA,2,"$125,370.00",78750,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743090,743090,282035,"Metro Engineering, Inc",4023999353,68145,NA,NA,Yes,10701 PECAN PARK BLVD UNIT 6410
BP,2007-002251 BP,Commercial,C- 101 Single Family Houses,New,No,12705 HINKLE LN,New 2 Story Condo W/Att Garage CovD Patio & CovD Porch.,R489021,2007-02-28,2007,2007,Final,2011-02-10,2011-02-10,6,NA,2,"$123,816.00",78750,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741779,741779,281890,LAKELINE PECAN LLC,5123281111,78746,NA,NA,Yes,12705 CAYMAN LN
BP,2007-002351 BP,Commercial,C- 101 Single Family Houses,New,No,12801 HINKLE LN,New 2 Story Condo W/Att Garage CovD Patio & CovD Porch.,R489011,2007-02-28,2007,2007,Final,2011-02-10,2011-02-10,6,NA,2,"$133,002.00",78750,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741855,741855,281998,LAKELINE PECAN LLC,5123281111,78746,NA,NA,Yes,12801 CAYMAN LN
BP,2007-004556 BP,Residential,R- 101 Single Family Houses,New,No,5103 AVENUE G,New Two Story Res W/Att Covered Porch,0223090702,2007-04-12,2007,2007,Final,2008-01-30,2008-01-30,9,NA,2,"$40,353.00",78751,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742864,742864,283132,Mantissa Construction LLC,5123733888,78756,NA,NA,Yes,5103 AVENUE G
BP,2006-026211 BP,Residential,R- 101 Single Family Houses,New,No,6704 PIXIE CV,New Two Story Res W/Att Garage Covered Porches & Balconies  ( 4 & 2-1/2 bathrooms) (Demolition#                    ) Variance date 12-7-2006. Ordinance #20061207-041. Septic #418665.,0131190105,2007-03-28,2007,2007,Final,2009-07-10,2009-07-10,10,NA,2,"$100,000.00",78746,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=732413,732413,269922,Dalgleish Construction Company,5123468554,78759,NA,NA,Yes,6704 PIXIE CV
