project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,gl_n_chunk_size_length_n,geocodio_latitude,geocodio_longitude,geocodio_accuracy_score,geocodio_accuracy_type,geocodio_address_line_1,geocodio_address_line_2,geocodio_address_line_3,geocodio_address_line_4,geocodio_house_number,geocodio_street,geocodio_unit_type,geocodio_unit_number,geocodio_city,geocodio_state_province,geocodio_nation,geocodio_county,geocodio_postal_code,geocodio_country,geocodio_building_name,geocodio_source,geocodio_stable_address_key,geocodio_match_type
3105 MC ELROY DR,New 2-story single family residence 5 bed/4.5 bath with habitable attic attached garage covered porch covered porch and balcony,2025-12-15,1,2,3105 MC ELROY DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13625414,3105 MC ELROY DRIVE,NA,Austin,Texas,United States,1,30.360573,-97.972069,0.69,street_center,El Rio Dr,NA,"Austin, TX 78734",NA,NA,El Rio Dr,NA,NA,Austin,TX,NA,Travis County,78734,US,NA,TIGER/Line® from the US Census Bureau,gcod_ussza27g7w22j89b,NA
6105 STEEP CACTUS TRL Unit A,UNIT # 48 - New 2-story duplex condominium Residence with attached garage covered porch and deck.  *2 UNITS* *CONDOMINIUM-DUPLEX RESIDENCE*,2018-05-03,1,2,6105 STEEP CACTUS TRL UNIT A,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11937357,6105 CACTUS TRAIL UNIT A,NA,Austin,Texas,United States,2,30.229671,-97.790447,0.69,street_center,Cactus Ln,Unit A,"Austin, TX 78745",NA,NA,Cactus Ln,Unit,A,Austin,TX,NA,Travis County,78745,US,NA,TIGER/Line® from the US Census Bureau,gcod_uss54elf8wd54nv5,NA
3313 STEVENSON AVENUE,new construction of 2 story 3 bedroom 3.5 bathroom SFR,2017-02-03,1,2,3313 STEVENSON AVE,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11667227,3313 AVE,NA,Austin,Texas,United States,2,30.431998,-97.687166,0.62,street_center,Ave N,NA,"Austin, TX 78727",NA,NA,Ave N,NA,NA,Austin,TX,NA,Travis County,78727,US,NA,TIGER/Line® from the US Census Bureau,gcod_ussyphnct2sfcqr4,NA
3313 STEVENSON AVENUE,new 1/1 secondary apt over a detached garage exempted from FAR,2017-02-03,1,2,3313 STEVENSON AVE,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11667228,3313 AVE,NA,Austin,Texas,United States,2,30.431998,-97.687166,0.62,street_center,Ave N,NA,"Austin, TX 78727",NA,NA,Ave N,NA,NA,Austin,TX,NA,Travis County,78727,US,NA,TIGER/Line® from the US Census Bureau,gcod_ussyphnct2sfcqr4,NA
3210 STEVENSON AVE,**VOID see PR 2014-083812**New 2 story sf res w covered porch and patio.,2011-09-30,1,2,3210 STEVENSON AVE,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10658147,3210 AVE,NA,Austin,Texas,United States,2,30.431998,-97.687166,0.62,street_center,Ave N,NA,"Austin, TX 78727",NA,NA,Ave N,NA,NA,Austin,TX,NA,Travis County,78727,US,NA,TIGER/Line® from the US Census Bureau,gcod_ussyphnct2sfcqr4,NA
3405 STEPHANS ST,New 2-story single-family residence attached garage covered porch.  **VOL BUILD PROJECT**,2008-04-11,1,2,3405 STEPHANS ST,78660,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10135369,3405 STREET,NA,Austin,Texas,United States,2,30.392046,-97.617469,0.68,nearest_rooftop_match,3329 Stirrat St,NA,"Pflugerville, TX 78660",NA,3329,Stirrat St,NA,NA,Pflugerville,TX,NA,Travis County,78660,US,NA,City of Austin (Public Domain),gcod_usnntybcpyhq9zwha6awacr4ttvfe,building_centroid
7703 STEPHANY TAYLOR CV,New 1 story SF res w/ att. garage covd patio & covd porch,2008-01-29,1,1,7703 STEPHANY TAYLOR CV,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10110054,7703 TAYLOR CV,NA,Austin,Texas,United States,2,30.268707,-97.547398,0.73,nearest_rooftop_match,7729 Taylor Ln,NA,"Manor, TX 78653",NA,7729,Taylor Ln,NA,NA,Manor,TX,NA,Travis County,78653,US,NA,City of Austin (Public Domain),gcod_usnwut3feutgzn28exx3hdkc7jdy7,building_centroid
2006 RUE DE ST TROPEZ,New 3 story condo with attached garage,2007-07-26,1,2,2006 RUE DE ST TROPEZ,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10055874,2006 RUE DE STREET TROPEZ,NA,Austin,Texas,United States,2,30.322007,-97.748076,0.69,street_center,Rue St,NA,"Austin, TX 78731",NA,NA,Rue St,NA,NA,Austin,TX,NA,Travis County,78731,US,NA,TIGER/Line® from the US Census Bureau,gcod_uss27tybefsgvma4,NA
2018 Bergman Ave,"New One Story Res W/Att Covered Porch (Urban Home) ( 2 Bathrooms 5/8 Meter) ( S.Ma.R.T Housing) (Demolition#06008424)




0",2006-10-02,1,1,2018 JESSE E SEGOVIA ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=736178,2018 JESSE EAST SEGOVIA STREET,NA,Austin,Texas,United States,2,30.339627,-97.554235,0.62,street_center,Jesse St,NA,"Manor, TX 78653",NA,NA,Jesse St,NA,NA,Manor,TX,NA,Travis County,78653,US,NA,TIGER/Line® from the US Census Bureau,gcod_ussqq5ludylfay42,NA
3714 STEVENSON AVE,New Two Family Residential (Ldc 25-2-774) 2st Fl Garage & 2nd Fl Studio (Demoltion#05009131),2006-02-16,2,2,3714 STEVENSON AVE,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=750123,3714 AVE,NA,Austin,Texas,United States,2,30.431998,-97.687166,0.62,street_center,Ave N,NA,"Austin, TX 78727",NA,NA,Ave N,NA,NA,Austin,TX,NA,Travis County,78727,US,NA,TIGER/Line® from the US Census Bureau,gcod_ussyphnct2sfcqr4,NA
