project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country
3811 GRAYSON LN BLDG 2,Bldg. 2:  New single story SFR with 2 bedrooms 2 bathrooms covered front porch and uncovered wood deck.,2026-06-02,1,1,3811 GRAYSON LN BLDG 2,78722,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13705570,3811 GRAYSON LANE BLDG 2,NA,Austin,Texas,United States
8622 CHALGRIN PL,*Green Building* New 2-story 4 bedroom 3.5 bathroom single family residence with attached garage covered front porch and side covered patio.,2026-06-02,1,2,8622 CHALGRIN PL,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711620,8622 CHALGRIN PLACE,NA,Austin,Texas,United States
8103 ERMIS FARM RD,PB CONDO: New construction of a 2-story single family dwelling in a condo regime. 3 BEDROOMS 2.5 BATHROOM ATTACHED 2 CAR GARAGE,2026-06-02,1,2,8103 ERMIS FARM RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700030,8103 ERMIS FARM ROAD,NA,Austin,Texas,United States
10929 TALLSALT DR,New construction of SFR,2026-04-23,1,2,10929 TALLSALT DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690276,10929 TALLSALT DRIVE,NA,Austin,Texas,United States
8010 BIRD SONG CIR,New construction of 2 story duplex condo each with 3 beds 2.5 baths and attached garage (Unit B),2026-04-22,1,2,8010 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690851,8010 BIRD SONG CIR,NA,Austin,Texas,United States
2710 ENFIELD RD UNIT B,UNIT B:  New duplex unit front unit.   1-car garage covered porch 3 bedroom 3.5 bathroom loft.,2026-04-20,1,2,2710 ENFIELD RD UNIT B,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688926,2710 ENFIELD ROAD UNIT B,NA,Austin,Texas,United States
4512 LAVA ISLAND DR,Falcon S404 A Left New - 2 Story SFR w/ 4 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-03-11,1,2,4512 LAVA ISLAND DR,78747,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13667272,4512 LAVA ISLAND DRIVE,NA,Austin,Texas,United States
806 VARGAS RD,BLDG 2: New Single story SFR,2026-01-26,1,1,806 VARGAS RD,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13535494,806 VARGAS ROAD,NA,Austin,Texas,United States
9117 CORVALLIS DR,Pizarro S414 A Right New - 1 Story SFR w/ 4 bedrooms 3 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-01-22,1,1,9117 CORVALLIS DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13643046,9117 CORVALLIS DRIVE,NA,Austin,Texas,United States
300 W MOCKINGBIRD LN BLDG 1,New 2-story 3 bedroom 2.5 bathroom dwelling unit with attached garage covered front porch rear covered patio and 2nd floor covered balcony.,2025-11-06,1,2,300 W MOCKINGBIRD LN BLDG 1,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609294,300 WEST MOCKINGBIRD LANE BLDG 1,NA,Austin,Texas,United States
