"","project_name","description","clean_address","geocodio_latitude","geocodio_longitude"
"1","1708 COLLIER ST BLDG 1","Bldg 1: New construction of 3 story SFR 3 bedroom 2.5 bath w/ covered porch and patio","1708 COLLIER STREET BLDG 1",30.254229,-97.769214
"2","6403 ROTUNDA VW","New 2 Story SFR 4 bed 3 bath 2 care garage alley access","6403 ROTUNDA VW",30.14387,-97.752752
"3","7005 FROG POND BND","*Green Building* New 2-story 4 bedroom 3 bathroom single family residence with attached garage covered front porch and rear covered patio.","7005 FROG POND BND",30.157861,-97.594763
"4","2113 HASKELL ST BLDG 3","ePlan: Residential Expedited Review - Three Unit - Bldg 3 New Construction of  2-Story SF Res [3bed 2.5bath] w/ attached carport","2113 HASKELL STREET BLDG 3",30.251153,-97.723216
"5","7013 FROG POND BND","New 1-story single family residence 4 bed/2 bath with attached garage covered porch and patio green building smart housing","7013 FROG POND BND",30.157694,-97.594476
"6","8624 CHALGRIN PL","*Green Building* New 2-story 4 bedroom 3 bathroom single family residence with attached garage covered front porch and side covered patio.","8624 CHALGRIN PLACE",30.139442,-97.713864
"7","6400 ROTUNDA VW","New 2 story single family residence 3 bedroom/2.5 bathroom with attached garage covered porch and patio","6400 ROTUNDA VW",30.14378,-97.75324
"8","11205 GOLDEN CLOUD BND","PB- New construction 2 story 4 bed 2.5 bath with attached garage and covered porch and patio","11205 GOLDEN CLOUD BND",30.3298,-97.570811
"9","12008 CEARLEY DR","New construction single-family residential 1-story 3 bedroom 2 bath with attached 2-car garage covered front porch and covered rear patio.","12008 CEARLEY DRIVE",30.406767,-97.687631
"10","6313 COMANCHE MOON TRL","New construction of a single-family residence. *Please reference approved PUD C8-2018-0171.2B.SH.","6313 COMANCHE MOON TRAIL",30.142342,-97.751943
"11","1307 W ST JOHNS AVE","ePlan: Residential Expedited Review - New Construction of 2-Story SF Res [5bed 4bath] with habitable attic and attached garage","1307 WEST STREET JOHNS AVE",30.341607,-97.724632
"12","2113 HASKELL ST BLDG 2","ePlan: Residential Expedited Review - Three Unit - Bldg 2 New Construction of  2-Story SF Res [5bed 4bath] w/ attached garage","2113 HASKELL STREET BLDG 2",30.251153,-97.723216
"13","1708 COLLIER ST BLDG 2","Bldg 2: New Construction of 3 story SFR 3 bedroom 3 bath with covered porch and attached carport","1708 COLLIER STREET BLDG 2",30.254229,-97.769214
"14","9204 CALVERT WAY","New construction of single family dwelling with 5 bedrooms and 4.5 baths 3 car garage rear patio and front porch

PUD","9204 CALVERT WAY",30.142339,-97.710393
"15","2113 HASKELL ST BLDG 1","ePlan: Residential Expedited Review - Three Unit - Bldg 1 New Construction of  2-Story SF Res [5bed 4bath] w/ attached garage","2113 HASKELL STREET BLDG 1",30.251153,-97.723216
"16","1708 COLLIER ST BLDG 3","Bldg 3: New Construction of 3 story SFR 3 bedroom 2.5 bath with covered patio","1708 COLLIER STREET BLDG 3",30.254229,-97.769214
"17","11213 GOLDEN CLOUD BND","New construction of 2 story SFR 4 beds 2.5 baths covered patio porch opt gourmet kitchen opt fireplace opt study opt ext covered patio and 22.5 3 car garage

PUD","11213 GOLDEN CLOUD BND",30.329951,-97.570557
"18","6908 FROG POND BND","NEW 1 STORY 4 bed 2 bath SINGLE-FAMILY RESIDENCE ATTACHED GARAGE COVERED PORCH AND PATIO","6908 FROG POND BND",30.15748,-97.595547
"19","3202 EANES CIR","ePlan: Residential Expedited Review - New Construction of a 2-Story SF Res [4bed 6bath] with attached garage","3202 EANES CIR",30.267879,-97.802416
"20","3811 GRAYSON LN BLDG 2","Bldg. 2:  New single story SFR with 2 bedrooms 2 bathrooms covered front porch and uncovered wood deck.","3811 GRAYSON LANE BLDG 2",30.289703,-97.708525
"21","8622 CHALGRIN PL","*Green Building* New 2-story 4 bedroom 3.5 bathroom single family residence with attached garage covered front porch and side covered patio.","8622 CHALGRIN PLACE",30.139596,-97.713752
"22","8103 ERMIS FARM RD","PB CONDO: New construction of a 2-story single family dwelling in a condo regime. 3 BEDROOMS 2.5 BATHROOM ATTACHED 2 CAR GARAGE","8103 ERMIS FARM ROAD",30.189262,-97.80885
