project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,gl_n_chunk_size_length_n,geocodio_latitude,geocodio_longitude,geocodio_accuracy_score,geocodio_accuracy_type,geocodio_address_line_1,geocodio_address_line_2,geocodio_address_line_3,geocodio_address_line_4,geocodio_house_number,geocodio_street,geocodio_unit_type,geocodio_unit_number,geocodio_city,geocodio_state_province,geocodio_nation,geocodio_county,geocodio_postal_code,geocodio_country,geocodio_building_name,geocodio_source,geocodio_stable_address_key,geocodio_match_type
3811 GRAYSON LN BLDG 2,Bldg. 2:  New single story SFR with 2 bedrooms 2 bathrooms covered front porch and uncovered wood deck.,2026-06-02,1,1,3811 GRAYSON LN BLDG 2,78722,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13705570,3811 GRAYSON LANE BLDG 2,NA,Austin,Texas,United States,1,30.289703,-97.708525,1,rooftop,3811 Grayson Ln,Bldg 2,"Austin, TX 78722",NA,3811,Grayson Ln,Bldg,2,Austin,TX,NA,Travis County,78722,US,NA,City of Austin (Public Domain),gcod_usnvsfyceq4fwahgue8n4sq2d5pqb-yaupdaq24pzvh,building_centroid
8622 CHALGRIN PL,*Green Building* New 2-story 4 bedroom 3.5 bathroom single family residence with attached garage covered front porch and side covered patio.,2026-06-02,1,2,8622 CHALGRIN PL,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711620,8622 CHALGRIN PLACE,NA,Austin,Texas,United States,1,30.139596,-97.713752,1,rooftop,8622 Chalgrin Pl,NA,"Austin, TX 78744",NA,8622,Chalgrin Pl,NA,NA,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usn4f4sv8l8dlubgzazedk8qg5v2h,building_centroid
8103 ERMIS FARM RD,PB CONDO: New construction of a 2-story single family dwelling in a condo regime. 3 BEDROOMS 2.5 BATHROOM ATTACHED 2 CAR GARAGE,2026-06-02,1,2,8103 ERMIS FARM RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700030,8103 ERMIS FARM ROAD,NA,Austin,Texas,United States,1,30.189262,-97.80885,1,rooftop,8103 Ermis Farm Rd,NA,"Austin, TX 78745",NA,8103,Ermis Farm Rd,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usnxdupl7ry2kwt7waekn3q43pwqf,building_centroid
10929 TALLSALT DR,New construction of SFR,2026-04-23,1,2,10929 TALLSALT DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690276,10929 TALLSALT DRIVE,NA,Austin,Texas,United States,1,30.350871,-97.627471,0.93,rooftop,10929 Tallsalt Dr,NA,"Manor, TX 78653",NA,10929,Tallsalt Dr,NA,NA,Manor,TX,NA,Travis County,78653,US,NA,City of Austin (Public Domain),gcod_usnavt26pey7hms7m9tl8vkarnhhe,building_centroid
8010 BIRD SONG CIR,New construction of 2 story duplex condo each with 3 beds 2.5 baths and attached garage (Unit B),2026-04-22,1,2,8010 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690851,8010 BIRD SONG CIR,NA,Austin,Texas,United States,1,30.190249,-97.809361,1,rooftop,8010 Bird Song Cir,NA,"Austin, TX 78745",NA,8010,Bird Song Cir,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usn6p7k2cunalna7zqw3ucssesqt9,building_centroid
2710 ENFIELD RD UNIT B,UNIT B:  New duplex unit front unit.   1-car garage covered porch 3 bedroom 3.5 bathroom loft.,2026-04-20,1,2,2710 ENFIELD RD UNIT B,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688926,2710 ENFIELD ROAD UNIT B,NA,Austin,Texas,United States,1,30.291394,-97.773076,1,rooftop,2710 Enfield Rd,Unit B,"Austin, TX 78703",NA,2710,Enfield Rd,Unit,B,Austin,TX,NA,Travis County,78703,US,NA,City of Austin (Public Domain),gcod_usn7xwzzr83bufudlsq2uwjp8dtd3-5wcshq3bjvx3f,building_centroid
4512 LAVA ISLAND DR,Falcon S404 A Left New - 2 Story SFR w/ 4 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-03-11,1,2,4512 LAVA ISLAND DR,78747,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13667272,4512 LAVA ISLAND DRIVE,NA,Austin,Texas,United States,1,30.124772,-97.793109,1,rooftop,4512 Lava Island Dr,NA,"Austin, TX 78747",NA,4512,Lava Island Dr,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usn34hmtg35yd7b7mtfsypylwy5qa,building_centroid
806 VARGAS RD,BLDG 2: New Single story SFR,2026-01-26,1,1,806 VARGAS RD,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13535494,806 VARGAS ROAD,NA,Austin,Texas,United States,1,30.234226,-97.693818,1,rooftop,806 Vargas Rd,NA,"Austin, TX 78741",NA,806,Vargas Rd,NA,NA,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usnwxsu3r46hsdua9562fazmng8qg,building_centroid
9117 CORVALLIS DR,Pizarro S414 A Right New - 1 Story SFR w/ 4 bedrooms 3 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-01-22,1,1,9117 CORVALLIS DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13643046,9117 CORVALLIS DRIVE,NA,Austin,Texas,United States,1,30.144075,-97.733487,1,rooftop,9117 Corvallis Dr,NA,"Austin, TX 78747",NA,9117,Corvallis Dr,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usnkdzl7bdw4gkj9537stqcpv29ze,building_centroid
300 W MOCKINGBIRD LN BLDG 1,New 2-story 3 bedroom 2.5 bathroom dwelling unit with attached garage covered front porch rear covered patio and 2nd floor covered balcony.,2025-11-06,1,2,300 W MOCKINGBIRD LN BLDG 1,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609294,300 WEST MOCKINGBIRD LANE BLDG 1,NA,Austin,Texas,United States,1,30.208874,-97.775423,1,rooftop,300 W Mockingbird Ln,Bldg 1,"Austin, TX 78745",NA,300,W Mockingbird Ln,Bldg,1,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usn9gkydqx7exadbwh26ql9jrn96d-5gnq2zg8qcxw8,building_centroid
