calendar_year_issued,original_zip,permit_type,n
1996,78617,BP,78
1996,78660,BP,32
1996,78681,BP,106
1996,78701,BP,9
1996,78702,BP,32
1996,78703,BP,30
1996,78704,BP,57
1996,78705,BP,2
1996,78717,BP,112
1996,78719,BP,11
1996,78721,BP,17
1996,78722,BP,3
1996,78723,BP,6
1996,78724,BP,74
1996,78725,BP,1
1996,78726,BP,69
1996,78727,BP,171
1996,78729,BP,14
1996,78730,BP,105
1996,78731,BP,94
1996,78732,BP,5
1996,78733,BP,41
1996,78734,BP,2
1996,78735,BP,211
1996,78736,BP,4
1996,78741,BP,29
1996,78744,BP,203
1996,78745,BP,83
1996,78746,BP,96
1996,78747,BP,60
1996,78748,BP,436
1996,78749,BP,279
1996,78750,BP,89
1996,78751,BP,4
1996,78753,BP,39
1996,78754,BP,40
1996,78756,BP,16
1996,78757,BP,13
1996,78758,BP,7
1996,78759,BP,174
1997,78617,BP,60
1997,78660,BP,108
1997,78681,BP,46
1997,78701,BP,1
1997,78702,BP,29
1997,78703,BP,29
1997,78704,BP,29
1997,78705,BP,6
1997,78717,BP,107
1997,78721,BP,12
1997,78722,BP,4
1997,78723,BP,11
1997,78724,BP,48
1997,78726,BP,115
1997,78727,BP,189
1997,78729,BP,11
1997,78730,BP,141
1997,78731,BP,102
1997,78732,BP,10
1997,78733,BP,28
1997,78734,BP,4
1997,78735,BP,191
1997,78741,BP,3
1997,78744,BP,122
1997,78745,BP,35
1997,78746,BP,124
1997,78747,BP,33
1997,78748,BP,275
1997,78749,BP,413
1997,78750,BP,78
1997,78751,BP,8
1997,78753,BP,60
1997,78754,BP,32
1997,78756,BP,15
1997,78757,BP,22
1997,78758,BP,1
1997,78759,BP,84
1997,NA,BP,2
1998,78617,BP,58
1998,78660,BP,136
1998,78702,BP,38
1998,78703,BP,20
1998,78704,BP,19
1998,78705,BP,4
1998,78717,BP,107
1998,78721,BP,25
1998,78722,BP,1
1998,78723,BP,24
1998,78724,BP,51
1998,78725,BP,1
1998,78726,BP,154
1998,78727,BP,225
1998,78728,BP,3
1998,78729,BP,2
1998,78730,BP,182
1998,78731,BP,95
1998,78732,BP,11
1998,78733,BP,51
1998,78734,BP,4
1998,78735,BP,338
1998,78736,BP,6
1998,78739,BP,216
1998,78741,BP,27
1998,78744,BP,53
1998,78745,BP,8
1998,78746,BP,81
1998,78747,BP,3
1998,78748,BP,360
1998,78749,BP,783
1998,78750,BP,147
1998,78751,BP,6
1998,78752,BP,1
1998,78753,BP,158
1998,78754,BP,20
1998,78756,BP,13
1998,78757,BP,46
1998,78758,BP,2
1998,78759,BP,94
1998,NA,BP,6
1999,78617,BP,57
1999,78660,BP,95
1999,78701,BP,7
1999,78702,BP,16
1999,78703,BP,37
1999,78704,BP,46
1999,78705,BP,5
1999,78717,BP,110
1999,78721,BP,13
1999,78722,BP,5
1999,78723,BP,12
1999,78724,BP,123
1999,78726,BP,157
1999,78727,BP,166
1999,78729,BP,4
1999,78730,BP,168
1999,78731,BP,61
1999,78732,BP,20
1999,78733,BP,27
1999,78734,BP,2
1999,78735,BP,152
1999,78736,BP,27
1999,78739,BP,186
1999,78741,BP,33
1999,78744,BP,69
1999,78745,BP,19
1999,78746,BP,129
1999,78747,BP,75
1999,78748,BP,210
1999,78749,BP,627
1999,78750,BP,198
1999,78751,BP,7
1999,78752,BP,4
1999,78753,BP,260
1999,78754,BP,35
1999,78756,BP,10
1999,78757,BP,9
1999,78758,BP,1
1999,78759,BP,127
1999,NA,BP,45
2000,78617,BP,49
2000,78660,BP,3
2000,78701,BP,1
2000,78702,BP,32
2000,78703,BP,26
2000,78704,BP,121
2000,78705,BP,7
2000,78717,BP,116
2000,78721,BP,22
2000,78722,BP,2
2000,78723,BP,8
2000,78724,BP,146
2000,78725,BP,4
2000,78726,BP,245
2000,78727,BP,241
2000,78729,BP,6
2000,78730,BP,174
2000,78731,BP,59
2000,78732,BP,23
2000,78733,BP,26
2000,78734,BP,2
2000,78735,BP,68
2000,78736,BP,8
2000,78737,BP,2
2000,78739,BP,111
2000,78741,BP,29
2000,78744,BP,36
2000,78745,BP,177
2000,78746,BP,122
2000,78747,BP,22
2000,78748,BP,563
2000,78749,BP,585
2000,78750,BP,187
2000,78751,BP,12
2000,78752,BP,30
2000,78753,BP,226
2000,78754,BP,98
2000,78756,BP,4
2000,78757,BP,2
2000,78758,BP,7
2000,78759,BP,144
2000,NA,BP,31
2001,78617,BP,63
2001,78660,BP,44
2001,78702,BP,48
2001,78703,BP,36
2001,78704,BP,43
2001,78705,BP,9
2001,78717,BP,288
2001,78721,BP,42
2001,78722,BP,1
2001,78723,BP,9
2001,78724,BP,18
2001,78726,BP,64
2001,78727,BP,125
2001,78730,BP,66
2001,78731,BP,37
2001,78732,BP,22
2001,78733,BP,13
2001,78734,BP,1
2001,78735,BP,20
2001,78736,BP,1
2001,78737,BP,4
2001,78739,BP,103
2001,78741,BP,49
2001,78742,BP,1
2001,78744,BP,17
2001,78745,BP,71
2001,78746,BP,17
2001,78747,BP,176
2001,78748,BP,224
2001,78749,BP,312
2001,78750,BP,68
2001,78751,BP,12
2001,78752,BP,11
2001,78753,BP,30
2001,78754,BP,75
2001,78756,BP,11
2001,78757,BP,5
2001,78758,BP,4
2001,78759,BP,74
2001,NA,BP,13
2002,78617,BP,4
2002,78660,BP,44
2002,78701,BP,2
2002,78702,BP,79
2002,78703,BP,41
2002,78704,BP,48
2002,78705,BP,16
2002,78717,BP,488
2002,78721,BP,47
2002,78722,BP,3
2002,78723,BP,19
2002,78724,BP,15
2002,78726,BP,64
2002,78727,BP,53
2002,78729,BP,18
2002,78730,BP,36
2002,78731,BP,32
2002,78732,BP,16
2002,78733,BP,7
2002,78734,BP,2
2002,78735,BP,64
2002,78736,BP,43
2002,78737,BP,20
2002,78739,BP,252
2002,78741,BP,101
2002,78742,BP,2
2002,78744,BP,49
2002,78745,BP,67
2002,78746,BP,19
2002,78747,BP,140
2002,78748,BP,267
2002,78749,BP,112
2002,78750,BP,112
2002,78751,BP,28
