contractor_company_name,n
NA,14734
D R Horton Homes,8210
KB Home,6981
Lennar Homes of Texas***MAIN***,4169
David Weekley Homes (MAIN),3842
"Milestone Community Builders, LLC(MAIN)",2549
"Milburn, Bill",2269
Centex Homes,2236
Newmark Homes LLC,2049
"STANDARD PACIFIC Homes of Texas,Inc Austin Division",2041
Meritage Homes Corp,2019
Pulte Homes of Texas L.P. dba Pulte Group,1818
Brookfield Residential Texas Homes LLC,1270
CalAtlantic Homes,1170
"Mainstreet Homes, LTD Main",1031
"Wilshire Homes, L.P.",956
"Pacesetter Homes, LLC",932
"Taylor Morrison of Texas, Inc.",906
RSI Communities (DO NOT USE),860
Ryland Homes,761
"Streetman Homes, Ltd LLP",750
